File ID,Subfolder,Transcription
isixhosa_001_01,isixhosa_001,isiXhosa.
isixhosa_001_02,isixhosa_001,amashumi amabini anesihlanu.
isixhosa_001_03,isixhosa_001,ndiyindoda.
isixhosa_001_04,isixhosa_001,[n] ndithetha e cell [n] phone.
isixhosa_001_05,isixhosa_001,"inye, [um] inye inye inye inye."
isixhosa_001_06,isixhosa_001,[um] imini yokuqala enyangeni [n] yesibhozo.
isixhosa_001_07,isixhosa_001,hayi anditshatanga.
isixhosa_001_08,isixhosa_001,ndizalelwe Khutsong.
isixhosa_001_09,isixhosa_001,[n] ndise Carletonville ngo.
isixhosa_001_10,isixhosa_001,icala emva kwentsimbi yesibini.
isixhosa_001_11,isixhosa_001,ngqu K U F A N E L E.
isixhosa_001_12,isixhosa_001,seven Nkanga.
isixhosa_001_13,isixhosa_001,"iqanda inye iqanda inye, ntandathu, sibhozo ntlanu mbini, inye iqanda."
isixhosa_001_14,isixhosa_001,"iSebe lezoKhuselo, iRiphabliki yaseMzantsi Afrika."
isixhosa_001_15,isixhosa_001,ndiya kubuza ze ndikwazise.
isixhosa_001_16,isixhosa_001,"indoda leyo ikhe yalibala ngaseMthatha, iminyaka enga mashumi amathathu."
isixhosa_001_17,isixhosa_001,"kanti okunene ivakalisa udaba oluhle, lwentomb' emhlophe, kasogwazile."
isixhosa_001_18,isixhosa_001,"ithe ni na ke le ntaka ingasiyeki, sivile nje madoda [n], yiyekeni, yothi kanti ixel' isanga."
isixhosa_001_19,isixhosa_001,asala ephithizela amazim ekhohliwe apho angehla khona.
isixhosa_001_20,isixhosa_001,"wandihleka kanene umCirha, akubona [n] ndikhathazekile, ndigqiba ihotele leyo ndifunana nebhotile."
isixhosa_001_21,isixhosa_001,"ndaliguqula ngoko ihashe lam, uWalaza."
isixhosa_001_22,isixhosa_001,[n] lawa kwa ngoko ishumi lamaXhosa.
isixhosa_001_23,isixhosa_001,"abantu abathi uxam, asiyonanto enobubele xa, ingumdlezana."
isixhosa_001_24,isixhosa_001,"imini nobusuku, wazamana neenyembezi."
isixhosa_001_25,isixhosa_001,"nam ndemka ekhaya ngaloo mini, ndingacingi ukuba ndoba sezikhalini."
isixhosa_001_26,isixhosa_001,"lithabatheni eli qhalo labadala kuba bathi, akuhlanga lungehlanga."
isixhosa_001_27,isixhosa_001,"uza loKumkani exhobe uxolo [n], equle uthando ephethe nokholo."
isixhosa_001_28,isixhosa_001,"uthi ma sithini ke, ukuthetha mfo [n] kaYuzi, nanku nje noNyawuza ekubizile namhlanje."
isixhosa_001_29,isixhosa_001,"olunye ke uphawu, iye ibengamabala ayo."
isixhosa_001_30,isixhosa_001,"kolu hambo ke, kuhanjwa kancinane."
isixhosa_002_01,isixhosa_002,sisiXhosa.
isixhosa_002_02,isixhosa_002,amashumi amabini ananye.
isixhosa_002_03,isixhosa_002,ndiyindoda.
isixhosa_002_04,isixhosa_002,nceba waphantsi.
isixhosa_002_05,isixhosa_002,"[n] inye misa inye, misa mbini kuya kumbindi."
isixhosa_002_06,isixhosa_002,"amashumi anesthoba, aneth- anesibhozo, anesithandathu."
isixhosa_002_07,isixhosa_002,anditshate.
isixhosa_002_08,isixhosa_002,i- Klerksdorp.
isixhosa_002_09,isixhosa_002,"ndihlala [um], ndisahlala e- Klerksdorp."
isixhosa_002_10,isixhosa_002,"umkhonto, emva kwentsimbi yeshumi."
isixhosa_002_11,isixhosa_002,[n] O N [n] J A.
isixhosa_002_12,isixhosa_002,ntlanu Dwarha.
isixhosa_002_13,isixhosa_002,"[n] qanda sixhenxe zintlanu m- mbini nne qanda [n], sithandathu nnye qanda [um] thathu."
isixhosa_002_14,isixhosa_002,"[n] iSebe lezeMisebenzi kaRhulumente, k- kubahlali [n], iRiphablikhi yaseMzantsi Afrika."
isixhosa_002_15,isixhosa_002,[n] wafika yena wamfaka entanjeni engalali umntu.
isixhosa_002_16,isixhosa_002,emaMpondweni bahlangene namadoda amathathu.
isixhosa_002_17,isixhosa_002,"uthe xa isiza [n], ekaZwide waphuma."
isixhosa_002_18,isixhosa_002,"umhambi angathi n-, nqa akufika kweli [n] lizwe."
isixhosa_002_19,isixhosa_002,"uhleli wahlala umhlekazi phezu kolo l-, walwa wada waanento athe wayiqonda, ngokuyifundiswa ngamaphakathi akowabo."
isixhosa_002_20,isixhosa_002,"[n] wezi ndawo wofika, libanzi igama elithi lakhe."
isixhosa_002_21,isixhosa_002,ayalusa amakhwenkwe.
isixhosa_002_22,isixhosa_002,"abantu banokusebenzisa unyango uku-, ukuthintela inyi-, inyumoniya."
isixhosa_002_23,isixhosa_002,"injongo yezi ntlanganiso, kukufuna elona cebo [n], liya kulunga [n] ekulweni."
isixhosa_002_24,isixhosa_002,"kumhla salila loo mini, wanga uSandile u- ufe [n] izolo."
