ID,wav,duration,spk_id,age,transcript
cv-corpus-18.0-2024-06-14-zu_common_voice_zu_39879169_0,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-18.0-2024-06-14-zu_common_voice_zu_39879169.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,iqembu ngalinye lisebenza nothisha kabili ngesonto
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879096_1,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879096.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,abafundi babhekisa phansi amakhadi abo ezinombolo
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879100_2,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879100.mp3,4.9,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,bhala igama lakho ushaye izandla ulandela isigqi
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879103_3,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879103.mp3,4.44,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yini engingayenza ukuxhasa ukufunda kwengane yami
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879127_4,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879127.mp3,6.67,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yimaphi amazwekazi okutholakala kuwo lawa mazwe
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879161_5,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879161.mp3,5.05,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,uvumile ukuthi udaba lwezindlu inselelo enkulu
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879168_6,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879168.mp3,4.26,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,xoxela umngani wakho ukuthi kwenzekeni kubongi
cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879169_7,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-19.0-2024-09-13-zu_common_voice_zu_39879169.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,iqembu ngalinye lisebenza nothisha kabili ngesonto
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879096_8,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879096.mp3,5.23,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,abafundi babhekisa phansi amakhadi abo ezinombolo
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879100_9,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879100.mp3,4.9,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,bhala igama lakho ushaye izandla ulandela isigqi
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879103_10,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879103.mp3,4.44,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yini engingayenza ukuxhasa ukufunda kwengane yami
cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879127_11,D:\Model-Finetuning\wav2vec2\data\commonvoice_zu_merged\clips\cv-corpus-20.0-2024-12-06-zu_common_voice_zu_39879127.mp3,6.67,8b3c12c96618250c57f04942c589968fd000e8e01d067094d4f66db3edcfb5a5055530b2c5c25eb4a8616e11f7957797f4bd04351fd9609f99523c991737bae6,nan,yimaphi amazwekazi okutholakala kuwo lawa mazwe
