ID,wav,duration,spk_id,age,transcript
isindebele_011_30_0,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_011\isindebele_011_30.wav,6.56,isindebele_011,27,[n] umntwanam [n] omele alotjolwe ngomgqibelo nangu sewuyagula
isindebele_195_26_1,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_195\isindebele_195_26.wav,7.62,isindebele_195,19,akakho umuntu ongahluthulelwa indawo kanye nepahla [n] engeyakhe
isindebele_101_21_2,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_101\isindebele_101_21.wav,10.16,isindebele_101,36,kwakhe iimpisi ezine zayokubhaqa ngehlathini [n] zilindele ipungutjha [n] ezako inyamazana
isindebele_132_13_3,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_132\isindebele_132_13.wav,8.21,isindebele_132,17,lilize likhomba bunane kuhlanu kune sithandathu kubili kunane kuthathu likhomba
isindebele_095_23_4,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_095\isindebele_095_23.wav,6.11,isindebele_095,42,vele kufuzile siwuhloniphe umthetho nesis nesiko lalapha kwabongwe
isindebele_188_24_5,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_188\isindebele_188_24.wav,4.32,isindebele_188,18,bathome ke ukugijima nommango bavimbana neenkomo
isindebele_079_01_6,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_079\isindebele_079_01.wav,1.14,isindebele_079,40,sindebele
isindebele_063_14_7,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_063\isindebele_063_14.wav,2.95,isindebele_063,41,[n] umnyango wezokuvikela umazibuse wesewula afri
isindebele_045_29_8,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_045\isindebele_045_29.wav,4.93,isindebele_045,46,asikwazi bona singenza izinto njengabesanyana abancani
isindebele_166_15_9,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Nbl.1.0\audio\isindebele_166\isindebele_166_15.wav,4.78,isindebele_166,36,yeke singezwa imikukurumbu ifika siya
