ID,wav,duration,spk_id,age,transcript
siswati_129_04_0,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_129\siswati_129_04.wav,1.91,siswati_129,23,ngikhuluma kumakhalekhikhin
siswati_141_23_1,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_141\siswati_141_23.wav,10.07,siswati_141,43,ngempela ke sesimnandzi [n] ngobe sesikhuluma siseveni letfu kute [n] lotawuphindze asicocodze
siswati_015_28_2,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_015\siswati_015_28.wav,10.82,siswati_015,52,yatsi abayewubita [n] emachegu talukati emadvodza bafati bafana [n] nemantfombatana
siswati_067_28_3,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_067\siswati_067_28.wav,3.65,siswati_067,24,shano badlali labamcoka kudrama [n] loyifundzako
siswati_085_19_4,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_085\siswati_085_19.wav,7.6,siswati_085,45,mbazwana [n] ufuna kuganwa ngusenzekile [s] lamtsandza ngenhlitiyo yakhe yonkhe
siswati_037_30_5,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_037\siswati_037_30.wav,18.0,siswati_037,40,akulah lwe bomngamu [n] [n] utonilaya phayinaphu lensimu [n] [n] senetela
siswati_023_02_6,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_023\siswati_023_02.wav,1.49,siswati_023,20,ngineminyanka lemashumi lamabili
siswati_132_28_7,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_132\siswati_132_28.wav,9.81,siswati_132,37,loku kwasenta kutsi singabu [n] singabulahli buve bet [n] ngobe ekugcineni akunandzaba kutsi uco [n] [um] twa la ucoshe [n] kanjani
siswati_157_30_8,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_157\siswati_157_30.wav,4.7,siswati_157,35,nyampiri hayi kha kha hhayi bulala mina biziwe mfazi kawena [n]
siswati_119_27_9,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_119\siswati_119_27.wav,4.07,siswati_119,30,sitawuke sitsi kuhlolahlola loku kulesifundvo
siswati_176_19_10,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_176\siswati_176_19.wav,7.26,siswati_176,Not Available,[n] [s] bacelwe ngamunye ngababili nangeticheme bawafundze basho netinchazelo tawo
siswati_125_01_11,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_125\siswati_125_01.wav,0.78,siswati_125,40,siswati
siswati_188_20_12,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_188\siswati_188_20.wav,6.47,siswati_188,52,lelitsambo batsi bodokotela kuncono lijutjwe angeke aphile
siswati_056_14_13,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_056\siswati_056_14.wav,6.3,siswati_056,46,litiko letekuhweba [n] netimboni [n] iriphabliki yeningizimu [s] afrika
siswati_014_24_14,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_014\siswati_014_24.wav,3.9,siswati_014,29,umnaketfu ut [s] utsatse intfombi lenhle
siswati_191_21_15,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_191\siswati_191_21.wav,12.79,siswati_191,25,kungako nje umbhali wephrozi a anagasi angasisebentisi sigci futsi uyakugwema kufaka imisindvo nesigci sebunkondlo
siswati_062_15_16,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_062\siswati_062_15.wav,17.64,siswati_062,42,[s] dvukudvuku kungene [um] vitsika nelibhayisikili [n] etfuke [n] nakabona emadvodza agcoke silumbi langawati
siswati_134_29_17,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_134\siswati_134_29.wav,9.27,siswati_134,49,umyalo nome sincumo lesikhishwe yinkantolo sibopha wonkhe umuntfu netakhiwo tembuso [n] lesisebenta kuto
siswati_028_09_18,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_028\siswati_028_09.wav,0.95,siswati_028,32,[n] elikazi
siswati_120_19_19,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_120\siswati_120_19.wav,4.17,siswati_120,33,ukhona yini umlamuli nobe [um] nobe umcabanisi kulomdlalo
siswati_107_28_20,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_107\siswati_107_28.wav,9.75,siswati_107,41,nguye lotasitjengisa indlela [n] khona sitsotsi nasitsatsa [n] ledukako sisho kutsi sed [n] ke sihamba [n] naye
siswati_164_26_21,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_164\siswati_164_26.wav,2.8,siswati_164,47,[n] ungumntfwana ngempela sipho
siswati_039_25_22,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_039\siswati_039_25.wav,6.54,siswati_039,60,kimi litiya lingumdvudvuti imfudvumalo kanye [s] nebungani beliciniso
siswati_091_05_23,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_091\siswati_091_05.wav,2.06,siswati_091,29,ty one point two point two nine two
siswati_020_27_24,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_020\siswati_020_27.wav,11.37,siswati_020,Not Available,[s] incenye lekutawucocwa ngayo sikhatsi sekubhebhetela lutfuvutfwa emdlalweni [s] [n] lutfutfuva emdlalweni oh no
siswati_065_03_25,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_065\siswati_065_03.wav,1.01,siswati_065,Not Available,[n] ngimdvuna
siswati_035_20_26,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_035\siswati_035_20.wav,5.59,siswati_035,13,nanangu umfana a asecadzini kwami lapha
siswati_071_15_27,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_071\siswati_071_15.wav,11.06,siswati_071,42,[s] bosicinisomfutfwa laba bongwaca labacala ngangwaca lodubulako bese [n] ulandzelwa ngungwaca longumfutfwa
siswati_088_26_28,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_088\siswati_088_26.wav,4.02,siswati_088,40,indvodza yamdvonsa [n] ngendlebe lom lomnumzane
siswati_075_19_29,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_075\siswati_075_19.wav,10.06,siswati_075,23,shengatsi bantfu [n] labahla phile ngulaba ngulabanemali kakhulu ngobe labete imali timali ababonakali kuya lapho embili
siswati_057_14_30,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_057\siswati_057_14.wav,2.48,siswati_057,25,bantfwana kuphela labenta loko
siswati_082_28_31,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_082\siswati_082_28.wav,7.08,siswati_082,33,feleba wemlumbi amkhombise ngesitfupha kutsi [n] agibele
siswati_134_18_32,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Ssw.1.0\audio\siswati_134\siswati_134_18.wav,2.64,siswati_134,49,ifulelwe ngangcwengcwe noma ngelitjeboya
