ID,wav,duration,spk_id,age,transcript
isixhosa_053_27_0,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_053\isixhosa_053_27.wav,6.52,isixhosa_053,41,lithabatheni [s] eli qhalo labadala [n] kuba la bathi [n] [s] akuhlanga lungehl [n] lungehlanga
isixhosa_124_29_1,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_124\isixhosa_124_29.wav,3.73,isixhosa_124,27,hambani mathole eemazi ezimabele made
isixhosa_028_01_2,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_028\isixhosa_028_01.wav,0.93,isixhosa_028,44,[n] sisixhosa
isixhosa_182_05_3,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_182\isixhosa_182_05.wav,8.32,isixhosa_182,23,nye ichatshaza nye ichatshaza [n] mbini isikhewu kunye lithoba sisine
isixhosa_105_22_4,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_105\isixhosa_105_22.wav,2.5,isixhosa_105,40,thulani [n] iminqwazi phambi kwenkosi
isixhosa_136_14_5,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_136\isixhosa_136_14.wav,5.24,isixhosa_136,32,isebe [n] lemicimbi yezangaphandle [s] [n] iriphablikhi yasemzantsi afrika
isixhosa_143_20_6,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_143\isixhosa_143_20.wav,5.62,isixhosa_143,36,simvile kwiincwina [n] zobomi obungcungcuthekayo
isixhosa_076_05_7,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_076\isixhosa_076_05.wav,7.96,isixhosa_076,51,isibini [n] esinesibini [n] [um] and then umvo [n] namashumi asixhenxe anes anesithoba
isixhosa_167_15_8,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_167\isixhosa_167_15.wav,4.4,isixhosa_167,26,[n] abantu banokusebenzisa unyango ukuthintela inyumoniya
isixhosa_055_19_9,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Xho.1.0\audio\isixhosa_055\isixhosa_055_19.wav,4.51,isixhosa_055,27,ndancedwa [s] ngulomarabu oqhuba imoto ya yethu
