ID,wav,duration,spk_id,age,transcript
isizulu_047_20_0,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_047\isizulu_047_20.wav,3.06,isizulu_047,38,meromo mngane wam asiziyeke lezo
isizulu_042_15_1,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_042\isizulu_042_15.wav,11.32,isizulu_042,22,kwathi noma [n] bekhuluma abasekhaya banga [s] ukungitusela [n] indlela ayelobola ngayo umkhwenyana
isizulu_038_21_2,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_038\isizulu_038_21.wav,7.13,isizulu_038,45,[n] ngone ne ne ai aiko [n] go [n] gokusa [s] usuku kweli kwesithupa
isizulu_129_17_3,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_129\isizulu_129_17.wav,9.82,isizulu_129,25,bathe bangaqhamukela endaweni evulekile wazama ukuphulukundlela utajewo
isizulu_166_13_4,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_166\isizulu_166_13.wav,11.76,isizulu_166,36,yiqanda sithupa [s] yiqanda yiqanda yisithupa yisithupa kuthathu ishagalombili [s] yiqanda yiqanda
isizulu_131_18_5,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_131\isizulu_131_18.wav,2.89,isizulu_131,37,dolly cha ngiyabonga impela jabu
isizulu_187_06_6,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_187\isizulu_187_06.wav,1.48,isizulu_187,65,[s] twenty seven september [n]
isizulu_100_18_7,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_100\isizulu_100_18.wav,7.84,isizulu_100,34,emuva kwesikha kwesikhashana bazibona sebegebise amakhanda kanye kanye
isizulu_125_06_8,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_125\isizulu_125_06.wav,2.54,isizulu_125,51,ngo nineteen [n] sixty six december twenty four
isizulu_029_13_9,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_029\isizulu_029_13.wav,5.75,isizulu_029,22,kubili iqanda kune kuthathu kune iqanda iqanda kubili [n]
isizulu_038_22_10,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_038\isizulu_038_22.wav,17.18,isizulu_038,45,[n] kodwa [s] azixoxile dwa [n] azixocile kahle ukuthi ziyini na kubumnyama futhi inyanga isi [s] isisithele
isizulu_021_15_11,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_021\isizulu_021_15.wav,8.24,isizulu_021,52,lokho kwakungukwahlukaniselwa kwe o altare lapho lase ligcotshiwe
isizulu_039_15_12,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_039\isizulu_039_15.wav,5.87,isizulu_039,40,[n] yafika yangqofa ihlo [n] langanhlanye lathi patsha
isizulu_105_15_13,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_105\isizulu_105_15.wav,3.91,isizulu_105,31,[n] amazwi ingani ayatholakala [n] amaphepha umtitilizo
isizulu_035_16_14,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_035\isizulu_035_16.wav,6.81,isizulu_035,33,abanye abathola ubunzima obukhulu yilabo ababefake amadiphozi okwetsheleka izimali
isizulu_064_02_15,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_064\isizulu_064_02.wav,0.94,isizulu_064,20,amashumi amabili
isizulu_137_20_16,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_137\isizulu_137_20.wav,3.38,isizulu_137,28,nempela bacaca futhi kuwona amadwala
isizulu_056_17_17,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_056\isizulu_056_17.wav,5.56,isizulu_056,22,phela umlomo lo wenyoni ucije [n] umcibisholo
isizulu_074_20_18,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_074\isizulu_074_20.wav,8.84,isizulu_074,18,imoto yemyeni wa [n] iyaziw [um] iyaziwa iboni futhi iboniwe futhi
isizulu_068_10_19,D:\Model-Finetuning\wav2vec2\data\ASR.Lwazi.Zul.1.0\audio\isizulu_068\isizulu_068_10.wav,3.68,isizulu_068,49,yikwata yehora ngaphambi kwehora lomkhothi
