File ID,Subfolder,Transcription
siswati_001_01,siswati_001,[n] Siswati.
siswati_001_02,siswati_001,mashumi lamabili nakubili.
siswati_001_03,siswati_001,ngimdvuna.
siswati_001_04,siswati_001,makhalekhikhini.
siswati_001_05,siswati_001,"kunye licashata, kunye licashata, kunye licashata."
siswati_001_06,siswati_001,"lilanga lemashumi lamabili, May."
siswati_001_07,siswati_001,angikashad-.
siswati_001_08,siswati_001,[n] -poti.
siswati_001_09,siswati_001,ngihlala e- Naspoti.
siswati_001_10,siswati_001,[s] [n] insimbi lishumi.
siswati_001_11,siswati_001,"B, A, S, E, B, E, N, T, I, [n] E."
siswati_001_12,siswati_001,"shum- -mi, nakuhlanu Kholwane."
siswati_001_13,siswati_001,"licandza [n], kunye licandza [s], kutsatfu, sihlanu, kune [n] [um], siphohlongo, siphohlongo, sikhombisa, kune."
siswati_001_14,siswati_001,"Luphiko lw- lwe lweMalingena lwaseNingizimu [n] Afrika [n], IRiphabliki yeNingizimu Afrik-."
siswati_001_15,siswati_001,"ute ufise nagogo wakho kutsi, a- awufuni kutsi, [n] achamuke emkhatsini [n] webantfu."
siswati_001_16,siswati_001,"kufute, nihlolisane, nibonisane kutsi kunguko, kunguko yini nome, akusiko na?"
siswati_001_17,siswati_001,"[n] emshweni wekucala [um], ungumnikati [n] welibhayisikili, emshweni wesibili litinyo laSi-, [um] emshweni wesibili litinyo laSipho [n], lelakhishwa, [n] ngudokodela."
siswati_001_18,siswati_001,"[n] Sibitelo, nika bafundzi [n] litfuba lekubitelana emagama, lasekucaleni endzabeni, bebayifundza."
siswati_001_19,siswati_001,"Nawutawutsi umbo- umbuso cha [n], akuji- akujinge [um] kul-, kume likha- li- li-, likhishi batalimisa."
siswati_001_20,siswati_001,"sigcino [n], Tsangela- [n], Tsangalembi- [um], Tsangalembiba, watid- watidzikela [um], watsatsa imi- imbita, wangenela, indlela leya [n] emfule-."
siswati_001_21,siswati_001,"Shiselweni, Nediso, Hlatsi, yiNjabuliso, leya kaHlatsi, hhafa- hhafupha- a-, half pa- [s] [um] half past eleven."
siswati_001_22,siswati_001,"ase sicale ngekubo-, ngekubonga uMdali, asho, Mdluli [n] awutsatsa, umthandazo."
siswati_001_23,siswati_001,"ube, uy- uyacwila, nesihla- nesihlahla sicwile, ubatse nesihlahla, sijike."
siswati_001_24,siswati_001,"no-, noko bamtsatsa befika bamfaka ekut- ek-, emkhunjini."
siswati_001_25,siswati_001,"ngifuna kudla, lokuphekwe, ngumake [n] kodvwa."
siswati_001_26,siswati_001,"sikhatsi sekusebenta, kwemajaji kanye, nekuholelwa kwawo."
siswati_001_27,siswati_001,"Nanangu umfana, [n] asecadzini kwami, lapha."
