model_type,languages,wer,cer,model_key
multilingual,"zu,xh,nbl,ssw",0.1599121361889072,0.03863374047157008,zulu_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.15404096014093813,0.03870673375495875,zulu_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"zu,xh,ssw",0.15505840864007053,0.03756386363924492,zulu_nguni_multilingual_zu_xh_ssw_wav2vec2
multilingual,"zu,xh",0.17392753945321182,0.04367351092791899,zulu_nguni_multilingual_zu_xh_wav2vec2
monolingual,xh,0.16990554771468896,0.04087297267878524,xhosa_results
multilingual,"xh,nbl,ssw",0.16762879860581636,0.03752074660571926,xhosa_nguni_multilingual_xh_nbl_ssw_wav2vec2
multilingual,"xh,nbl",0.18019197207678883,0.04121575575848439,xhosa_nguni_multilingual_xh_nbl_wav2vec2
multilingual,"xh,ssw",0.15452274948420025,0.03463068297517071,xhosa_nguni_multilingual_xh_ssw_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.16744845641976655,0.038179688351313065,xhosa_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.15769398430688752,0.03507936723840096,xhosa_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"zu,xh,ssw",0.16284654005675617,0.036831208455922415,xhosa_nguni_multilingual_zu_xh_ssw_wav2vec2
multilingual,"zu,xh",0.1793293018141836,0.042065896868943305,xhosa_nguni_multilingual_zu_xh_wav2vec2
multilingual,"xh,nbl,ssw",0.1425669436749769,0.032920250449552615,ndebele_nguni_multilingual_xh_nbl_ssw_wav2vec2
multilingual,"xh,nbl",0.15271346545656603,0.03560386630650568,ndebele_nguni_multilingual_xh_nbl_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.1471708631422466,0.03369689076998209,ndebele_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,nbl",0.1347629170903041,0.030554111428818993,ndebele_nguni_multilingual_zu_xh_nbl_wav2vec2
multilingual,"xh,nbl,ssw",0.12948757287511506,0.027560738119552567,siswati_nguni_multilingual_xh_nbl_ssw_wav2vec2
multilingual,"xh,ssw",0.12534590550374092,0.026887783568181008,siswati_nguni_multilingual_xh_ssw_wav2vec2
multilingual,"zu,xh,nbl,ssw",0.13931729385153196,0.030435351648482396,siswati_nguni_multilingual_zu_xh_nbl_ssw_wav2vec2
multilingual,"zu,xh,ssw",0.130568356374808,0.027922340248568236,siswati_nguni_multilingual_zu_xh_ssw_wav2vec2
