File ID,Subfolder,Transcription
isindebele_001_01,isindebele_001,siNdebele.
isindebele_001_02,isindebele_001,[n] ematjhumi amabili nantathu.
isindebele_001_03,isindebele_001,[n] wembaji.
isindebele_001_04,isindebele_001,kumaliledinini.
isindebele_001_05,isindebele_001,"yinye, [n] liqatjhazi, kunye, liqatjhazi, kunye, sikhala, kunye."
isindebele_001_06,isindebele_001,"u- amatjhumi amabili kuMgwengweni, enyakeni eyikulungwana yinye, namakhulu ayithoba, namatjhumi amane, namahlanu."
isindebele_001_07,isindebele_001,awa.
isindebele_001_08,isindebele_001,ngeSiyabuswa.
isindebele_001_09,isindebele_001,eSiyabuswa.
isindebele_001_10,isindebele_001,mizuzu elitjhumi nahlanu ngemva kobana kubethe iri lesithanda-.
isindebele_001_11,isindebele_001,"ngu I, I, [n] ngu N, ngu K, ngu A, ngu M, ngu B, ngu I, ngu S, ngu O."
isindebele_001_12,isindebele_001,lilanga lobunane kuNtaka.
isindebele_001_13,isindebele_001,"-qanda, [n] kune, yiqanda, kunye, likhomba, kuthathu, sithandathu, bunane, mbili, likhom-."
isindebele_001_14,isindebele_001,"[n] umnyaka wezokuthukiza- [n] kwezoku- kwezokuhlalisana, uMazibuse weSewula Afrika."
isindebele_001_15,isindebele_001,itjho ilori puke intuthu inga kubaswe [n] imbawula.
isindebele_001_16,isindebele_001,"nabangamazi bona akusiyo umuntu ohlala kwaNdebele, bangamvalela ngeskhatjhan- [n]."
isindebele_001_17,isindebele_001,"ikasi likamufi nalo amalanga la, lidoswa yikoloyana ebukisako, [n] begodu, eyenziwe [n] ngerhalasi."
isindebele_001_18,isindebele_001,udade [n] wakhambela futhi [n] ekwendeni.
isindebele_001_19,isindebele_001,"[n] umnqopho walesigaba- kuhlangan- kuhlanganisa, kanye noku- nokunabisa ilimi kanye [n] nefund-."
isindebele_001_20,isindebele_001,"[n] -ulukhul kulinywa iimfundafunda [n] eminengi yemirorho, [n] njengesipinitjhi, ikabitini, iink- [n] iinkhwele nokhunye."
isindebele_001_21,isindebele_001,"kuthe nasele aseduze [n] nezala, wezwa izuba lilila [n]."
isindebele_001_22,isindebele_001,"okhunye lidla iintanga zomgade, umratha, uburotho, [n] sphil-."
isindebele_001_23,isindebele_001,"amadoda agijimisana [n] neenko-, [n] iimbuzi, nezimvu, eentaben-."
isindebele_001_24,isindebele_001,"ubuza nje, kukuseni, unogogwakhe ngekhwitjhini, barhamula itiye."
