File ID,Subfolder,Transcription
isizulu_001_01,isizulu_001,isiZulu.
isizulu_001_02,isizulu_001,fourty [n] six.
isizulu_001_03,isizulu_001,wesifazana.
isizulu_001_04,isizulu_001,kumakhal' ekhukhwini.
isizulu_001_05,isizulu_001,"two [n] ungqi, two ungqi, one, two three."
isizulu_001_06,isizulu_001,[s] ngosuku lwamashumi amabili nesishagalombili [s].
isizulu_001_07,isizulu_001,[n] yebo.
isizulu_001_08,isizulu_001,ngazalwa ngonyaka ka nineteen six [n].
isizulu_001_09,isizulu_001,i- area se- Rei-.
isizulu_001_10,isizulu_001,elesishagalolunye.
isizulu_001_11,isizulu_001,"Y, A, [n] M, A, S, I, K [n], O."
isizulu_001_12,isizulu_001,twenty six kuZibandlela.
isizulu_001_13,isizulu_001,"zero three one, zero two [n] four, five three, four three."
isizulu_001_14,isizulu_001,uPhiko lwezokuPhepha nokuVikeleka.
isizulu_001_15,isizulu_001,isinyathelo [n] sokuqala ngukuba kufundwe buthule isigatshana leso esiqukethe lezo zenzo.
isizulu_001_16,isizulu_001,imoto yomyeni wakho iyaziwa iboniwe futhi.
isizulu_001_17,isizulu_001,"Mfeka, akungiphe imfaduko lapho ngesule izandla."
isizulu_001_18,isizulu_001,"[n] uyise [n] ezwa esindwa yisithunzi somuntu olapha elawini, wavula amehlo kancane."
isizulu_001_19,isizulu_001,wanikezwa omunye wokuba awugcobe emashiyeni.
isizulu_001_20,isizulu_001,nekhefu alikho lapha isibhaxu kuphela nje.
isizulu_001_21,isizulu_001,ijabule ifile ngokubona inyama iziletha kuyo.
isizulu_001_22,isizulu_001,"wathi eqeda ukuyilanda eyakhe uMxukuza wayesejikile, engaseyena lowaya owayesekhicileka."
isizulu_001_23,isizulu_001,"hhayi bo, Tajewo ziphi izintambo."
isizulu_001_24,isizulu_001,ngabe une- unelinye isu olicabangayo yini Tajewo?
isizulu_001_25,isizulu_001,amaxoxo ayaxokozela laphaya osebeni lwemifudlana.
isizulu_001_26,isizulu_001,[n] umgodi wogage lowo wahlala obala.
isizulu_001_27,isizulu_001,"mina ngingufezela omncane nje, angilutho."
isizulu_001_28,isizulu_001,"lolu hlobo lubhalwa ngendlela ethiwa, yiphros-."
isizulu_001_29,isizulu_001,mkhulu umsebenzi ongenziwa yilaba bantu kucabanga lomholi.
isizulu_001_30,isizulu_001,"Mbhense, hho [n] izinduna ziyezwana washo ke nduna [n]."
isizulu_002_01,isizulu_002,siZul-.
isizulu_002_02,isizulu_002,yishumil [n] namathu anesikhombisa.
isizulu_002_03,isizulu_002,[n] wesilisa.
isizulu_002_04,isizulu_002,ucingo [n] olujwayelekile.
isizulu_002_05,isizulu_002,"[n] kunye ichashaza kunye ichashaza, kubili, angazi chashaza, uyini i slash."
isizulu_002_06,isizulu_002,[n] zilibanga umsindo [s] omkhulu.
isizulu_002_07,isizulu_002,"wasifihla ngaphansi, [s] kwengubo, yokulala ayembhethe."
isizulu_002_08,isizulu_002,[s] imicabango yokuthi mhlawumbe bayaphupha noma [n] sebekwelabaphansi yalokhu ihlezi nabo.
isizulu_002_09,isizulu_002,"[s] phezu kwebandla lesizwe sabantwana bakwa Na- Naledi- Nale- Nalelani [n] kwe [n] nkungu Ahira indodana ka Enami, evele ku- Peter, yagcina ingafikanga unomphelo."
isizulu_002_10,isizulu_002,[s] Mfeka [n] akungiphe u- imfaduko lapho ngesule izandla.
isizulu_002_11,isizulu_002,"wo phela lo- lowo mntanami [n] usaba, ukugana."
isizulu_002_12,isizulu_002,acingwe [s] acingwe uChakijana lize l- ligcine selimtholile ibhubesi.
isizulu_002_13,isizulu_002,uma kunje nawo uMnyango [s] weMfundo ungeke waphumelela ngamakomiti awo [n].
isizulu_002_14,isizulu_002,[s] gaxa entanyeni yakho ubel- muhle futhi ube namandla amakhulu as- asabekayo.
isizulu_002_15,isizulu_002,"yonke [n] lempilo, o- lempilo, Lajiwo, noMerumo baya buka bes- semhlani ka [s] Nong- noyojo- jaba- Nongjombo."
isizulu_002_16,isizulu_002,"[s] into esala phakathi njengokhamba oluyisigece, ayibuye ilunge."
isizulu_002_17,isizulu_002,"[s] wafa uha- -Hadadi, uSamla, waseMasireka."
isizulu_002_18,isizulu_002,waba yinkosi esikhundleni sakhe.
isizulu_002_19,isizulu_002,"lendlela ka- Doke yinhle kakhulu [n] ekuhleleni ulimi inobuciko, [s] besayoni- besayonsi o besayensi."
isizulu_002_20,isizulu_002,"uyise ezwa, [s] esindwa yisithunzi somuntu [n] olapha elaw- elawini wavula amehlo kancane."
isizulu_003_01,isizulu_003,izulu.
isizulu_003_02,isizulu_003,[n] awu twenty one.
