model_type,languages,wer,cer,model_key
multilingual,"zu,xh,nr,ss",0.30029003521856223,0.062228618217006176,zulu_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.2535167239762426,0.05324361972041192,zulu_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.2648090815273478,0.05528093795022107,zulu_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.24127698761895017,0.050945781788432454,zulu_nguni_multilingual_zu_xh_whisper_results
monolingual,xh,0.24146292180238432,0.054086027222458526,xhosa_results
multilingual,"xh,nr,ss",0.28770688039970854,0.05986541986060387,xhosa_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,nr",0.25553028736820343,0.054051527252814764,xhosa_nguni_multilingual_xh_nr_whisper_results
multilingual,"xh,ss",0.2634485579873185,0.05706971038455384,xhosa_nguni_multilingual_xh_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.33232312676350717,0.0684518222532114,xhosa_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.28240208877284595,0.05903969957081545,xhosa_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.2831144659290663,0.059537347979074964,xhosa_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.25017891831101113,0.054174174174174174,xhosa_nguni_multilingual_zu_xh_whisper_results
monolingual,xh,0.24100646725949879,0.05252804508479983,xhosa_xh_whisper_results
multilingual,"xh,nr,ss",0.23395958879829848,0.048022417591820146,ndebele_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,nr",0.2079251610625717,0.04301914218227291,ndebele_nguni_multilingual_xh_nr_whisper_results
multilingual,"zu,xh,nr,ss",0.26412092283214,0.05439267922430566,ndebele_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.23106262196203656,0.047446740177711166,ndebele_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"xh,nr,ss",0.2885981308411215,0.06365751512331316,siswati_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,ss",0.2727949385932266,0.058394160583941604,siswati_nguni_multilingual_xh_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.34014869888475835,0.07299507480717406,siswati_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,ss",0.29541215964192463,0.06340714551544474,siswati_nguni_multilingual_zu_xh_ss_whisper_results
