model_type,languages,wer,cer,model_key
monolingual,zu,0.21428571428571427,0.04684474455091604,zulu_results
multilingual,"zu,nr,ss",0.2684641208560638,0.0569324176371056,zulu_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,nr",0.23740401809193226,0.050862433730741466,zulu_nguni_multilingual_zu_nr_whisper_results
multilingual,"zu,ss",0.23698402820991496,0.050387596899224806,zulu_nguni_multilingual_zu_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.30029003521856223,0.062228618217006176,zulu_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.2535167239762426,0.05324361972041192,zulu_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.2648090815273478,0.05528093795022107,zulu_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.24127698761895017,0.050945781788432454,zulu_nguni_multilingual_zu_xh_whisper_results
monolingual,zu,0.21391645988420183,0.04591380765602503,zulu_zu_whisper_results
multilingual,"zu,xh,nr,ss",0.33232312676350717,0.0684518222532114,xhosa_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.28240208877284595,0.05903969957081545,xhosa_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.2831144659290663,0.059537347979074964,xhosa_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.25017891831101113,0.054174174174174174,xhosa_nguni_multilingual_zu_xh_whisper_results
multilingual,"zu,nr,ss",0.2319084781837531,0.04828603810705045,ndebele_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,nr",0.21021314387211368,0.04380202426550831,ndebele_nguni_multilingual_zu_nr_whisper_results
multilingual,"zu,xh,nr,ss",0.26412092283214,0.05439267922430566,ndebele_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.23106262196203656,0.047446740177711166,ndebele_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,nr,ss",0.2851754055073557,0.06127210789117551,siswati_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,ss",0.25777444735856125,0.056762666914809475,siswati_nguni_multilingual_zu_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.34014869888475835,0.07299507480717406,siswati_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,ss",0.29541215964192463,0.06340714551544474,siswati_nguni_multilingual_zu_xh_ss_whisper_results
